Character,Best Echo Set,4-Cost Main,3-Cost Main,1-Cost Main,Substat Priority,Target ER
Aemeath,Trailblazing Star,Crit DMG,Fusion ,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Basic DMG",120-130%
Augusta,Crown of Valor,Crit Rate/DMG,Electro,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Heavy DMG",120%
Baizhi,Rejuvenating Glow,Healing Bonus,Energy Recharge,HP%,"Energy Recharge, HP%",160%+
Brant,Tidebreaking Courage,Crit Rate/DMG,Energy Recharge,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Basic DMG",125%
Buling,Moonlit Clouds,Crit Rate/DMG,Electro,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%",140%
Camellya,Midnight Veil,Crit Rate/DMG,Havoc,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Basic DMG",115-125%
Cantarella,Rejuvenating Glow,Crit Rate/DMG,Havoc,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Basic DMG",150%+
Carlotta,Frosty Resolve,Crit Rate/DMG,Glacio,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Skill DMG",120%
Calcharo,Void Thunder,Crit Rate/DMG,Electro,ATK %,"Energy Recharge, Crit DMG, Crit Rate, ATK%, Liberation DMG",120%
Cartethyia,Windward Pilgrimage,Crit DMG,Aero,HP%,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Liberation DMG, Basic DMG",160%+
Changli,Molten Rift,Crit Rate/DMG,Fusion ,ATK %,"Energy Recharge, Crit DMG, Crit Rate, ATK%, Basic DMG",125%
Chisa,Thread of Severed Fate,Crit Rate,Havoc,ATK %,"Energy Recharge, Crit DMG, Crit Rate, ATK%, Liberation DMG",130-140%
Ciaccona,Gusts of Welkin,Crit Rate/DMG,Aero,ATK %,"Crit Rate, Crit DMG, ATK%",130%
Danjin,Moonlit Clouds,Crit Rate/DMG,Havoc,ATK %,"Crit Rate, Crit DMG, ATK%, Heavy DMG",
Galbrena,Flamewing's Shadow,Crit Rate/DMG,Fusion,ATK %,"Crit Rate, Crit DMG, ATK%, Heavy DMG",125%
Iuno,Crown of Valor,Crit Rate/DMG,Aero,ATK %,"Crit DMG, Crit Rate, Energy Recharge, Liberation DMG, ATK%",120%
Jianxin,Moonlit Clouds,Crit Rate/DMG,Aero,ATK %,"Energy Recharge, Crit DMG, Crit Rate, ATK%, Liberation DMG",120%
Jinhsi,Celestial Light,Crit Rate/DMG,Spectro,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Skill DMG",
Jiyan,Windward Pilgrimage,Crit Rate/DMG,Aero,ATK %,"Crit DMG, Crit Rate, Energy Recharge, ATK%, Heavy DMG",125%
Lumi,Moonlit Clouds,Crit Rate/DMG,Electro,ATK %,"Crit DMG, Crit Rate, Energy Recharge, ATK%",140%
Lupa,Flaming Clawprint,Crit Rate/DMG,Fusion ,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Liberation DMG",130%
Luuk Herssen,Rite of Guilded Revelations,Crit Rate/DMG,Spectro,ATK %,"Crit Rate, Crit DMG, Energy Recharge, ATK%, Basic DMG",120%+
Lynae,Pact of Neonlight,Crit Rate/DMG,Spectro,ATK %,"Crit DMG, Crit Rate, Energy Recharge, ATK%, Basic DMG",120%
Mornye,Halo of Radiance,Defence,Energy Recharge,DEF%,"Energy Recharge, Crit DMG, DEF%, Crit Rate, Liberation DMG",240%
Phoebe,Eternal Radiance,Crit Rate/DMG,Spectro,ATK %,,115%
Phrolova,Midnight Veil,Crit Rate/DMG,Havoc,ATK %,,130%
Qiuyuan,Windward Pilgrimage,Crit Rate,Aero,ATK %,,160%+
Roccia,Midnight Veil,Crit Rate/DMG,Havoc,ATK %,,130%
Shorekeeper,Rejuvenating Glow,Crit Rate (ER),Energy Recharge,HP%,,250%
Sigrika,Sound of True Name,Crit Rate/DMG,Aero,ATK %,,130-150%
Verina,Rejuvenating Glow,Healing Bonus,Energy Recharge,ATK %,,200%+
Zani,Eternal Radiance,Crit Rate/DMG,Spectro,ATK %,,120%
Zhezhi,Freezing Frost,Crit Rate/DMG,Glacio,ATK %,,140%
